candidate_id,stage,stage_date
C00001,Applied,2025-09-23
C00001,HR Interview,2025-09-24
C00001,Tech Interview,2025-10-03
C00001,Rejected,2025-10-05
C00002,Applied,2024-07-11
C00002,HR Interview,2024-07-15
C00002,Tech Interview,2024-07-25
C00002,Rejected,2024-07-27
C00003,Applied,2025-01-24
C00003,Rejected,2025-01-27
C00004,Applied,2024-03-28
C00004,HR Interview,2024-04-02
C00004,Tech Interview,2024-04-08
C00004,Rejected,2024-04-12
C00005,Applied,2024-01-03
C00005,Rejected,2024-01-05
C00006,Applied,2024-12-01
C00006,HR Interview,2024-12-07
C00006,Rejected,2024-12-10
C00007,Applied,2025-09-15
C00007,Rejected,2025-09-17
C00008,Applied,2024-01-11
C00008,HR Interview,2024-01-17
C00008,Tech Interview,2024-01-25
C00008,Rejected,2024-01-29
C00009,Applied,2024-10-21
C00009,HR Interview,2024-10-26
C00009,Tech Interview,2024-11-03
C00009,Offer,2024-11-15
C00009,Rejected,2024-11-17
C00010,Applied,2024-09-24
C00010,HR Interview,2024-09-27
C00010,Tech Interview,2024-10-05
C00010,Offer,2024-10-12
C00010,Rejected,2024-10-13
C00011,Applied,2025-06-01
C00011,HR Interview,2025-06-06
C00011,Tech Interview,2025-06-16
C00011,Offer,2025-06-28
C00011,Hired,2025-07-05
C00012,Applied,2024-01-03
C00012,HR Interview,2024-01-07
C00012,Rejected,2024-01-09
C00013,Applied,2024-12-01
C00013,HR Interview,2024-12-04
C00013,Tech Interview,2024-12-13
C00013,Offer,2024-12-21
C00013,Rejected,2024-12-27
C00014,Applied,2024-10-05
C00014,Rejected,2024-10-06
C00015,Applied,2024-06-14
C00015,HR Interview,2024-06-19
C00015,Rejected,2024-06-21
C00016,Applied,2025-09-21
C00016,Rejected,2025-09-23
C00017,Applied,2025-02-14
C00017,HR Interview,2025-02-23
C00017,Rejected,2025-02-24
C00018,Applied,2024-01-16
C00018,HR Interview,2024-01-22
C00018,Tech Interview,2024-02-02
C00018,Rejected,2024-02-05
C00019,Applied,2024-06-17
C00019,HR Interview,2024-06-21
C00019,Tech Interview,2024-07-04
C00019,Offer,2024-07-11
C00019,Rejected,2024-07-16
C00020,Applied,2024-05-31
C00020,HR Interview,2024-06-07
C00020,Tech Interview,2024-06-14
C00020,Offer,2024-06-27
C00020,Hired,2024-07-08
C00021,Applied,2024-01-24
C00021,HR Interview,2024-01-30
C00021,Tech Interview,2024-02-09
C00021,Offer,2024-02-14
C00021,Hired,2024-02-21
C00022,Applied,2025-10-12
C00022,HR Interview,2025-10-15
C00022,Rejected,2025-10-17
C00023,Applied,2024-09-24
C00023,HR Interview,2024-10-01
C00023,Tech Interview,2024-10-08
C00023,Rejected,2024-10-13
C00024,Applied,2025-01-23
C00024,Rejected,2025-01-25
C00025,Applied,2024-10-01
C00025,HR Interview,2024-10-06
C00025,Tech Interview,2024-10-14
C00025,Offer,2024-10-25
C00025,Hired,2024-10-31
C00026,Applied,2025-02-16
C00026,Rejected,2025-02-18
C00027,Applied,2024-01-11
C00027,Rejected,2024-01-13
C00028,Applied,2024-01-21
C00028,HR Interview,2024-01-27
C00028,Tech Interview,2024-02-04
C00028,Offer,2024-02-15
C00028,Hired,2024-02-19
C00029,Applied,2025-09-06
C00029,HR Interview,2025-09-08
C00029,Tech Interview,2025-09-14
C00029,Offer,2025-09-15
C00029,Rejected,2025-09-18
C00030,Applied,2025-02-07
C00030,HR Interview,2025-02-11
C00030,Rejected,2025-02-14
C00031,Applied,2025-01-19
C00031,Rejected,2025-01-20
C00032,Applied,2025-01-02
C00032,Rejected,2025-01-06
C00033,Applied,2024-10-22
C00033,HR Interview,2024-10-26
C00033,Tech Interview,2024-11-05
C00033,Rejected,2024-11-08
C00034,Applied,2024-09-01
C00034,HR Interview,2024-09-02
C00034,Tech Interview,2024-09-10
C00034,Offer,2024-09-19
C00034,Rejected,2024-09-23
C00035,Applied,2024-10-18
C00035,HR Interview,2024-10-22
C00035,Tech Interview,2024-10-29
C00035,Rejected,2024-10-30
C00036,Applied,2024-09-06
C00036,Rejected,2024-09-07
C00037,Applied,2025-07-17
C00037,HR Interview,2025-07-22
C00037,Tech Interview,2025-07-31
C00037,Offer,2025-08-08
C00037,Rejected,2025-08-09
C00038,Applied,2024-08-02
C00038,Rejected,2024-08-03
C00039,Applied,2024-07-09
C00039,Rejected,2024-07-11
C00040,Applied,2025-10-08
C00040,HR Interview,2025-10-18
C00040,Tech Interview,2025-10-22
C00040,Offer,2025-10-29
C00040,Rejected,2025-11-04
C00041,Applied,2024-12-05
C00041,HR Interview,2024-12-06
C00041,Tech Interview,2024-12-12
C00041,Offer,2024-12-25
C00041,Rejected,2024-12-30
C00042,Applied,2025-02-20
C00042,HR Interview,2025-02-25
C00042,Tech Interview,2025-03-07
C00042,Offer,2025-03-19
C00042,Rejected,2025-03-21
C00043,Applied,2024-06-13
C00043,HR Interview,2024-06-23
C00043,Rejected,2024-06-26
C00044,Applied,2024-07-04
C00044,Rejected,2024-07-05
C00045,Applied,2025-05-02
C00045,Rejected,2025-05-04
C00046,Applied,2024-10-29
C00046,Rejected,2024-11-01
C00047,Applied,2024-04-08
C00047,Rejected,2024-04-10
C00048,Applied,2025-01-27
C00048,Rejected,2025-01-30
